onset	duration	run_number	trial_number	att_task	seq_acquisition	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
38162.27665	1.250718231	4	1	1	2	9	1	1	3	9	n/a	n/a	n/a
38163.53532	1.240887544	4	2	1	2	9	1	2	3	9	n/a	n/a	n/a
38164.78462	1.241559894	4	3	1	2	9	1	3	3	9	n/a	n/a	n/a
38166.03456	1.241456721	4	4	1	2	9	1	4	3	9	n/a	n/a	n/a
38167.28447	1.258369056	4	5	1	2	9	1	5	3	9	n/a	n/a	n/a
38168.55095	1.241808892	4	6	1	2	9	1	6	3	9	n/a	n/a	n/a
38169.80086	1.241746227	4	7	1	2	9	1	7	3	9	n/a	n/a	n/a
38171.05064	1.241918785	4	8	1	2	9	1	8	3	9	n/a	n/a	n/a
38172.30061	1.241960433	4	9	1	2	9	1	9	3	9	n/a	n/a	n/a
38173.55061	1.241381386	4	10	1	2	9	1	10	3	9	n/a	n/a	n/a
38174.95296	1.256025126	4	11	1	2	1	2	1	2	9	n/a	38175.33483	n/a
38176.21748	1.241132506	4	12	1	2	1	2	2	1	10	0	38176.58342	0.637008851
38177.46709	1.241260344	4	13	1	2	1	2	3	1	10	1	38177.83347	0.652611992
38178.71734	1.241477896	4	14	1	2	1	2	4	2	10	1	38179.08319	0.696461575
38179.96695	1.241304607	4	15	1	2	1	2	5	1	9	1	38180.33327	0.650556883
38181.21675	1.241877797	4	16	1	2	1	2	6	1	10	0	38181.58321	0.701152293
38182.46706	1.24156415	4	17	1	2	1	2	7	1	10	1	38182.8333	0.633630264
38183.71681	1.241601673	4	18	1	2	1	2	8	2	10	1	38184.08363	0.658367079
38184.96684	1.258181484	4	19	1	2	1	2	9	2	9	1	38185.35009	0.557859321
38186.23303	1.2584116	4	20	1	2	1	2	10	2	9	1	38186.59994	0.682914214
38187.49989	1.283360939	4	21	1	2	1	2	11	1	9	1	38187.89175	0.566260124
38188.79159	1.315965657	4	22	1	2	1	2	12	1	8	1	38189.19161	0.674508179
38190.11614	1.25849672	4	23	1	2	1	2	13	1	8	1	38190.49929	0.541628982
38191.55577	1.293446332	4	24	1	2	1	2	14	2	8	1	38191.94465	0.630149506
38192.85751	1.309002678	4	25	1	2	1	2	15	2	7	1	38193.2582	0.508343924
38194.17474	1.29960916	4	26	1	2	1	2	16	2	7	1	38194.54925	0.658278106
38195.48288	1.258307659	4	27	1	2	1	2	17	1	7	1	38195.85789	0.583300984
38196.74883	1.299853291	4	28	1	2	1	2	18	2	6	1	38197.13328	0.649649122
38198.05707	1.325630469	4	29	1	2	1	2	19	1	7	0	38198.45714	0.575767639
38199.39076	1.307750872	4	30	1	2	1	2	20	2	7	1	38199.77423	0.633008514
38200.70758	1.316597817	4	31	1	2	1	2	21	2	7	1	38201.10698	0.550288557
38202.03239	1.308362697	4	32	1	2	1	2	22	2	6	1	38202.43239	0.500287625
38203.3484	1.316737538	4	33	1	2	1	2	23	2	6	1	38203.74853	0.492463551
38204.67371	1.300028562	4	34	1	2	1	2	24	2	6	n/a	38205.07382	n/a
38205.98231	1.315876465	4	35	1	2	1	2	25	2	7	0	38206.38275	0.607868435
38207.3072	1.316468809	4	36	1	2	1	2	26	1	7	1	38207.69895	0.600162602
38208.63134	1.325231645	4	37	1	2	1	2	27	2	8	0	38209.03222	0.533180321
38209.965	1.308670588	4	38	1	2	1	2	28	1	8	1	38210.36586	0.733202631
38211.28128	1.309007288	4	39	1	2	1	2	29	1	9	0	38211.682	0.574673523
38212.59888	1.324524318	4	40	1	2	1	2	30	1	9	1	38212.99884	0.530970878
38213.93176	1.315998458	4	41	1	2	1	2	31	1	10	0	38214.33164	0.364686187
38215.25695	1.30758247	4	42	1	2	1	2	32	2	11	0	38215.65621	0.259175935
38216.69958	1.248167493	4	43	1	2	9	3	1	3	11	n/a	n/a	n/a
38217.9569	1.241648413	4	44	1	2	9	3	2	3	11	n/a	n/a	n/a
38219.20659	1.240849171	4	45	1	2	9	3	3	3	11	n/a	n/a	n/a
38220.45651	1.244686614	4	46	1	2	9	3	4	3	11	n/a	n/a	n/a
38221.70592	1.242412832	4	47	1	2	9	3	5	3	11	n/a	n/a	n/a
38222.9564	1.240421822	4	48	1	2	9	3	6	3	11	n/a	n/a	n/a
38224.20588	1.240960733	4	49	1	2	9	3	7	3	11	n/a	n/a	n/a
38225.45576	1.250175904	4	50	1	2	9	3	8	3	11	n/a	n/a	n/a
38226.71338	1.242400155	4	51	1	2	9	3	9	3	11	n/a	n/a	n/a
38227.9644	1.241186883	4	52	1	2	9	3	10	3	11	n/a	n/a	n/a
38229.34711	1.308599986	4	53	1	2	3	4	1	1	11	n/a	38229.73941	n/a
38230.66439	1.308071073	4	54	1	2	3	4	2	1	11	n/a	38231.0554	n/a
38231.97992	1.316429218	4	55	1	2	3	4	3	1	11	1	38232.38001	0.743172368
38233.30548	1.333609652	4	56	1	2	3	4	4	1	11	1	38233.70527	0.666803827
38234.64612	1.317431994	4	57	1	2	3	4	5	2	10	1	38235.04628	0.576226249
38235.97202	1.308219656	4	58	1	2	3	4	6	1	10	1	38236.36345	0.541753016
38237.28888	1.32427622	4	59	1	2	3	4	7	2	10	1	38237.68883	0.533551256
38238.62219	1.307911857	4	60	1	2	3	4	8	2	9	1	38239.01313	0.541875681
38239.93864	1.325206417	4	61	1	2	3	4	9	2	9	1	38240.33869	0.516792064
38241.27201	1.317006097	4	62	1	2	3	4	10	1	9	1	38241.66356	0.558100324
38242.59647	1.317232425	4	63	1	2	3	4	11	2	8	1	38242.99644	0.558651937
38243.92187	1.316614845	4	64	1	2	3	4	12	1	8	1	38244.32185	0.499909613
38245.24707	1.324718845	4	65	1	2	3	4	13	1	9	0	38245.64671	0.48358872
38246.58	1.316686605	4	66	1	2	3	4	14	2	9	1	38246.98003	0.566784635
38247.90485	1.308385677	4	67	1	2	3	4	15	2	9	1	38248.305	0.507757976
38249.22136	1.316918133	4	68	1	2	3	4	16	2	10	0	38249.61332	0.632916426
38250.54644	1.324409199	4	69	1	2	3	4	17	2	10	1	38250.94645	0.627425033
38251.8793	1.309025614	4	70	1	2	3	4	18	1	10	1	38252.27137	0.632995195
38253.32191	1.241121376	4	71	1	2	9	5	1	3	10	n/a	n/a	n/a
38254.57122	1.2417083	4	72	1	2	9	5	2	3	10	n/a	n/a	n/a
38255.82127	1.241581363	4	73	1	2	9	5	3	3	10	n/a	n/a	n/a
38257.07115	1.24170947	4	74	1	2	9	5	4	3	10	n/a	n/a	n/a
38258.32111	1.241757491	4	75	1	2	9	5	5	3	10	n/a	n/a	n/a
38259.57115	1.241530969	4	76	1	2	9	5	6	3	10	n/a	n/a	n/a
38260.82106	1.249839098	4	77	1	2	9	5	7	3	10	n/a	n/a	n/a
38262.07918	1.241670478	4	78	1	2	9	5	8	3	10	n/a	n/a	n/a
38263.32906	1.241698835	4	79	1	2	9	5	9	3	10	n/a	n/a	n/a
38264.57911	1.24988456	4	80	1	2	9	5	10	3	10	n/a	n/a	n/a
38265.96379	1.248544779	4	81	1	2	5	6	1	1	11	0	38266.33758	0.366332351
38267.22059	1.241595041	4	82	1	2	5	6	2	1	11	n/a	38267.58727	n/a
38268.47037	1.241962953	4	83	1	2	5	6	3	2	11	1	38268.83717	0.44954142
38269.72044	1.241647274	4	84	1	2	5	6	4	2	12	0	38270.0871	0.616803134
38270.97028	1.241479909	4	85	1	2	5	6	5	2	12	1	38271.33701	0.732723253
