onset	duration	run_number	trial_number	att_task	seq_acquisition	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
37197.01316	1.24242321	2	1	1	2	9	1	1	3	4	n/a	n/a	n/a
37198.26337	1.240727995	2	2	1	2	9	1	2	3	4	n/a	n/a	n/a
37199.51259	1.241832268	2	3	1	2	9	1	3	3	4	n/a	n/a	n/a
37200.7628	1.244202273	2	4	1	2	9	1	4	3	4	n/a	n/a	n/a
37202.01272	1.241177195	2	5	1	2	9	1	5	3	4	n/a	n/a	n/a
37203.26244	1.241792245	2	6	1	2	9	1	6	3	4	n/a	n/a	n/a
37204.51257	1.241007512	2	7	1	2	9	1	7	3	4	n/a	n/a	n/a
37205.76227	1.241803811	2	8	1	2	9	1	8	3	4	n/a	n/a	n/a
37207.01228	1.241678076	2	9	1	2	9	1	9	3	4	n/a	n/a	n/a
37208.26233	1.241585945	2	10	1	2	9	1	10	3	4	n/a	n/a	n/a
37209.65949	1.26110065	2	11	1	2	1	2	1	2	4	n/a	37210.03003	n/a
37210.92892	1.241346391	2	12	1	2	1	2	2	1	5	0	37211.29528	0.802270575
37212.17817	1.25050152	2	13	1	2	1	2	3	2	6	0	37212.54484	0.703218861
37213.43709	1.24135054	2	14	1	2	1	2	4	1	6	1	37213.80362	0.65826163
37214.68688	1.283344527	2	15	1	2	1	2	5	2	6	1	37215.05358	0.542498456
37215.9785	1.25821723	2	16	1	2	1	2	6	1	7	0	37216.34495	0.558998883
37217.2451	1.266766588	2	17	1	2	1	2	7	1	7	1	37217.61192	0.683131196
37218.51986	1.274411156	2	18	1	2	1	2	8	1	7	1	37218.89489	0.874628062
37219.80281	1.266900333	2	19	1	2	1	2	9	1	8	0	37220.17001	0.750093823
37221.07831	1.283061658	2	20	1	2	1	2	10	1	9	0	37221.45331	0.641936905
37222.3698	1.282726765	2	21	1	2	1	2	11	2	9	1	37222.73664	0.5919494
37223.66116	1.283281804	2	22	1	2	1	2	12	2	9	1	37224.02812	0.583785825
37224.95264	1.274685424	2	23	1	2	1	2	13	1	8	1	37225.31912	0.524959684
37226.23637	1.275031264	2	24	1	2	1	2	14	1	8	1	37226.60293	0.68333083
37227.51955	1.275371546	2	25	1	2	1	2	15	1	8	1	37227.88633	0.541672834
37228.8023	1.275102518	2	26	1	2	1	2	16	1	7	1	37229.1776	0.549742513
37230.08592	1.241099813	2	27	1	2	1	2	17	2	7	1	37230.4528	0.550337459
37231.33625	1.249837827	2	28	1	2	1	2	18	1	7	1	37231.70459	0.631148137
37232.59349	1.242361573	2	29	1	2	1	2	19	1	6	1	37232.96093	0.641153851
37233.84343	1.267508939	2	30	1	2	1	2	20	2	6	1	37234.21064	0.641960412
37235.11898	1.283345985	2	31	1	2	1	2	21	2	7	0	37235.48582	0.649981713
37236.41089	1.282674259	2	32	1	2	1	2	22	1	8	0	37236.78567	0.641954322
37237.70191	1.259084677	2	33	1	2	1	2	23	2	8	1	37238.08582	0.541614798
37238.96836	1.27563022	2	34	1	2	1	2	24	1	8	1	37239.33583	0.532803572
37240.25213	1.290997527	2	35	1	2	1	2	25	2	9	0	37240.62649	0.575426998
37241.55217	1.274086395	2	36	1	2	1	2	26	1	9	1	37241.92658	0.566601834
37242.83526	1.283196469	2	37	1	2	1	2	27	1	9	1	37243.20196	0.517064607
37244.12689	1.275068849	2	38	1	2	1	2	28	1	10	0	37244.49386	0.65835746
37245.40963	1.249995849	2	39	1	2	1	2	29	1	10	1	37245.7762	0.558850337
37246.66807	1.291597064	2	40	1	2	1	2	30	1	10	1	37247.03517	0.774455747
37247.96823	1.283521469	2	41	1	2	1	2	31	1	11	0	37248.3351	0.61615825
37249.25906	1.283073111	2	42	1	2	1	2	32	2	12	0	37249.62667	0.474720282
37250.67772	1.247808622	2	43	1	2	9	3	1	3	12	n/a	n/a	n/a
37251.93509	1.241849078	2	44	1	2	9	3	2	3	12	n/a	n/a	n/a
37253.18486	1.240687092	2	45	1	2	9	3	3	3	12	n/a	n/a	n/a
37254.43479	1.24077996	2	46	1	2	9	3	4	3	12	n/a	n/a	n/a
37255.68474	1.250116965	2	47	1	2	9	3	5	3	12	n/a	n/a	n/a
37256.942	1.242433424	2	48	1	2	9	3	6	3	12	n/a	n/a	n/a
37258.1917	1.243003226	2	49	1	2	9	3	7	3	12	n/a	n/a	n/a
37259.44167	1.250018954	2	50	1	2	9	3	8	3	12	n/a	n/a	n/a
37260.70081	1.244754562	2	51	1	2	9	3	9	3	12	n/a	n/a	n/a
37261.95101	1.24152251	2	52	1	2	9	3	10	3	12	n/a	n/a	n/a
37263.33503	1.290172642	2	53	1	2	3	4	1	1	13	0	37263.7091	0.408834243
37264.63445	1.299898781	2	54	1	2	3	4	2	1	13	1	37265.00938	0.574746978
37265.94228	1.274556781	2	55	1	2	3	4	3	2	13	1	37266.30912	0.600267679
37267.22593	1.274586608	2	56	1	2	3	4	4	1	12	1	37267.59212	0.642253403
37268.50892	1.274848513	2	57	1	2	3	4	5	1	12	1	37268.87529	0.634006399
37269.79207	1.275194241	2	58	1	2	3	4	6	2	12	1	37270.159	0.583293601
37271.0754	1.283280348	2	59	1	2	3	4	7	1	11	1	37271.45042	0.491799024
37272.36711	1.266535122	2	60	1	2	3	4	8	2	11	1	37272.73305	0.641988551
37273.64187	1.282943287	2	61	1	2	3	4	9	1	11	1	37274.0165	0.525639624
37274.93327	1.291834387	2	62	1	2	3	4	10	1	12	0	37275.30856	0.508009287
37276.23356	1.275262878	2	63	1	2	3	4	11	1	12	1	37276.60014	0.483528685
37277.51688	1.282925947	2	64	1	2	3	4	12	1	12	1	37277.88345	0.533589907
37278.80837	1.274954783	2	65	1	2	3	4	13	2	11	1	37279.17522	0.524722528
37280.09154	1.275088873	2	66	1	2	3	4	14	1	11	1	37280.45867	0.524379622
37281.37496	1.283361683	2	67	1	2	3	4	15	1	11	1	37281.74964	0.542074521
37282.66649	1.274996642	2	68	1	2	3	4	16	2	10	1	37283.03352	0.608386561
37283.94977	1.283264935	2	69	1	2	3	4	17	1	10	1	37284.32445	0.541517764
37285.24136	1.291501637	2	70	1	2	3	4	18	2	11	0	37285.61634	0.732899393
37286.66651	1.24144599	2	71	1	2	9	5	1	3	11	n/a	n/a	n/a
37287.91634	1.241240303	2	72	1	2	9	5	2	3	11	n/a	n/a	n/a
37289.16602	1.242060846	2	73	1	2	9	5	3	3	11	n/a	n/a	n/a
37290.41611	1.244142673	2	74	1	2	9	5	4	3	11	n/a	n/a	n/a
37291.66588	1.241779154	2	75	1	2	9	5	5	3	11	n/a	n/a	n/a
37292.91601	1.24148043	2	76	1	2	9	5	6	3	11	n/a	n/a	n/a
37294.16589	1.241563829	2	77	1	2	9	5	7	3	11	n/a	n/a	n/a
37295.41574	1.24205145	2	78	1	2	9	5	8	3	11	n/a	n/a	n/a
37296.66523	1.242088967	2	79	1	2	9	5	9	3	11	n/a	n/a	n/a
37297.91556	1.241912937	2	80	1	2	9	5	10	3	11	n/a	n/a	n/a
37299.29351	1.246921109	2	81	1	2	5	6	1	2	11	1	37299.6658	0.583231356
37300.54859	1.241789797	2	82	1	2	5	6	2	2	11	n/a	37300.91548	n/a
37301.79848	1.241950704	2	83	1	2	5	6	3	1	12	0	37302.16534	0.725514782
37303.04869	1.241713585	2	84	1	2	5	6	4	2	13	0	37303.41536	0.666401044
37304.2985	1.241725974	2	85	1	2	5	6	5	1	14	0	37304.66538	0.633630273
37305.54836	1.24141565	2	86	1	2	5	6	6	2	14	1	37305.91489	0.658081597
37306.79814	1.258648589	2	87	1	2	5	6	7	2	14	1	37307.1736	0.533275031
37308.06501	1.241631236	2	88	1	2	5	6	8	2	13	1	37308.4317	0.533429772
37309.3151	1.241917235	2	89	1	2	5	6	9	1	14	0	37309.68176	0.616163374
37310.56439	1.24164947	2	90	1	2	5	6	10	1	14	1	37310.93163	0.558482738
37311.81455	1.24199835	2	91	1	2	5	6	11	2	14	1	37312.18149	0.533787076
