bar pass 1 event mri_trigger at 6385.695500
bar pass 1 event mri_trigger at 6385.770352
bar pass 1 event mri_trigger at 6385.853808
bar pass 1 event mri_trigger at 6385.937239
bar pass 1 event mri_trigger at 6386.012312
bar pass 1 trial offset at 6386.092449
bar pass 1 event mri_trigger at 6386.095724
bar pass 1 trial onset at 6386.100868
bar pass 1 event mri_trigger at 6386.170597
bar pass 1 event mri_trigger at 6386.253819
bar pass 1 event mri_trigger at 6386.337530
bar pass 1 event mri_trigger at 6386.412333
bar pass 1 event mri_trigger at 6386.495791
bar pass 1 event mri_trigger at 6386.570603
bar pass 1 event mri_trigger at 6386.653956
bar pass 1 event mri_trigger at 6386.737516
bar pass 1 event mri_trigger at 6386.812589
bar pass 1 event mri_trigger at 6386.895935
bar pass 1 event mri_trigger at 6386.970856
bar pass 1 event mri_trigger at 6387.054277
bar pass 1 event mri_trigger at 6387.137823
bar pass 1 event mri_trigger at 6387.212814
bar pass 1 trial offset at 6387.292993
bar pass 1 event mri_trigger at 6387.296456
bar pass 1 - 119/120 drawn bar stimuli - and 0/0 probes - 1 missed sync on 1440 frames, 0.1% (mean/median delay = 2.4/2.4 ms)
bar pass 1 stopped at 6387.308135
bar pass 2 started at 6387.444274
bar pass 2 trial onset at 6387.471385
bar pass 2 event mri_trigger at 6387.537660
bar pass 2 event mri_trigger at 6387.612787
bar pass 2 event mri_trigger at 6387.696137
bar pass 2 event mri_trigger at 6387.771431
bar pass 2 stimulus probe onset at 6387.826637
bar pass 2 event mri_trigger at 6387.854508
bar pass 2 event mri_trigger at 6387.937892
bar pass 2 event mri_trigger at 6388.013048
bar pass 2 event mri_trigger at 6388.096488
bar pass 2 event mri_trigger at 6388.171295
bar pass 2 event mri_trigger at 6388.254766
bar pass 2 event mri_trigger at 6388.338101
bar pass 2 event mri_trigger at 6388.413037
bar pass 2 event mri_trigger at 6388.496510
bar pass 2 event mri_trigger at 6388.571573
bar pass 2 event mri_trigger at 6388.655042
bar pass 2 trial offset at 6388.676912
bar pass 2 trial onset at 6388.685186
bar pass 2 event mri_trigger at 6388.738122
bar pass 2 event mri_trigger at 6388.813231
bar pass 2 event mri_trigger at 6388.896787
bar pass 2 event mri_trigger at 6388.971934
bar pass 2 stimulus probe onset at 6389.035404
bar pass 2 event mri_trigger at 6389.055233
bar pass 2 event mri_trigger at 6389.138570
bar pass 2 event mri_trigger at 6389.222047
bar pass 2 event mri_trigger at 6389.296803
bar pass 2 event mri_trigger at 6389.371916
bar pass 2 event mri_trigger at 6389.455194
bar pass 2 event mri_trigger at 6389.547229
bar pass 2 event mri_trigger at 6389.613833
bar pass 2 event mri_trigger at 6389.696968
bar pass 2 event mri_trigger at 6389.772014
bar pass 2 event mri_trigger at 6389.855480
bar pass 2 trial offset at 6389.927394
bar pass 2 event mri_trigger at 6389.930553
bar pass 2 trial onset at 6389.935773
bar pass 2 event mri_trigger at 6390.013833
bar pass 2 event mri_trigger at 6390.097132
bar pass 2 event mri_trigger at 6390.172263
bar pass 2 event mri_trigger at 6390.255519
bar pass 2 stimulus probe onset at 6390.277617
bar pass 2 event mri_trigger at 6390.330612
bar pass 2 event mri_trigger at 6390.414093
bar pass 2 event mri_trigger at 6390.497501
bar pass 2 event mri_trigger at 6390.572283
bar pass 2 event mri_trigger at 6390.655854
bar pass 2 event mri_trigger at 6390.730653
bar pass 2 event mri_trigger at 6390.814068
bar pass 2 event mri_trigger at 6390.897526
bar pass 2 event mri_trigger at 6390.972616
bar pass 2 event mri_trigger at 6391.056085
bar pass 2 event mri_trigger at 6391.130950
bar pass 2 trial offset at 6391.136180
bar pass 2 trial onset at 6391.144589
bar pass 2 event mri_trigger at 6391.214032
bar pass 2 event mri_trigger at 6391.297546
bar pass 2 event mri_trigger at 6391.372927
bar pass 2 event mri_trigger at 6391.456085
bar pass 2 stimulus probe onset at 6391.486386
bar pass 2 event mri_trigger at 6391.531159
bar pass 2 event mri_trigger at 6391.614266
bar pass 2 event mri_trigger at 6391.697759
bar pass 2 event mri_trigger at 6391.772917
bar pass 2 event mri_trigger at 6391.856264
bar pass 2 event mri_trigger at 6391.931161
bar pass 2 event mri_trigger at 6392.014640
bar pass 2 event mri_trigger at 6392.098092
bar pass 2 event mri_trigger at 6392.173160
bar pass 2 event mri_trigger at 6392.256287
bar pass 2 event mri_trigger at 6392.331358
bar pass 2 trial offset at 6392.336735
bar pass 2 trial onset at 6392.345005
bar pass 2 event mri_trigger at 6392.414654
bar pass 2 event mri_trigger at 6392.498096
bar pass 2 event mri_trigger at 6392.573219
bar pass 2 event mri_trigger at 6392.656623
bar pass 2 stimulus probe onset at 6392.687006
bar pass 2 event mri_trigger at 6392.731416
bar pass 2 event mri_trigger at 6392.814919
bar pass 2 event mri_trigger at 6392.898303
bar pass 2 event mri_trigger at 6392.973357
bar pass 2 event mri_trigger at 6393.056641
bar pass 2 event mri_trigger at 6393.131723
bar pass 2 event mri_trigger at 6393.215209
bar pass 2 event mri_trigger at 6393.298295
bar pass 2 event mri_trigger at 6393.373433
bar pass 2 event mri_trigger at 6393.456896
bar pass 2 event mri_trigger at 6393.532063
bar pass 2 trial offset at 6393.537241
bar pass 2 trial onset at 6393.545475
bar pass 2 event mri_trigger at 6393.615298
bar pass 2 event mri_trigger at 6393.698699
bar pass 2 event mri_trigger at 6393.773752
bar pass 2 event mri_trigger at 6393.857170
bar pass 2 stimulus probe onset at 6393.887450
bar pass 2 event mri_trigger at 6393.932047
bar pass 2 event mri_trigger at 6394.015400
bar pass 2 event mri_trigger at 6394.098913
bar pass 2 event mri_trigger at 6394.173769
bar pass 2 event mri_trigger at 6394.257227
bar pass 2 event mri_trigger at 6394.332267
bar pass 2 event mri_trigger at 6394.415369
bar pass 2 event mri_trigger at 6394.498862
bar pass 2 event mri_trigger at 6394.574028
bar pass 2 event mri_trigger at 6394.657369
bar pass 2 event mri_trigger at 6394.732506
bar pass 2 trial offset at 6394.737879
bar pass 2 trial onset at 6394.746045
bar pass 2 event mri_trigger at 6394.815737
bar pass 2 event mri_trigger at 6394.890836
bar pass 2 event mri_trigger at 6394.974328
bar pass 2 event mri_trigger at 6395.057423
bar pass 2 stimulus probe onset at 6395.087834
bar pass 2 event mri_trigger at 6395.132480
bar pass 2 event mri_trigger at 6395.216019
bar pass 2 event mri_trigger at 6395.290920
bar pass 2 event mri_trigger at 6395.382712
bar pass 2 event mri_trigger at 6395.457557
bar pass 2 event mri_trigger at 6395.532627
bar pass 2 event mri_trigger at 6395.616191
bar pass 2 event mri_trigger at 6395.691129
bar pass 2 event mri_trigger at 6395.774655
bar pass 2 event mri_trigger at 6395.857867
bar pass 2 event mri_trigger at 6395.932936
bar pass 2 trial offset at 6395.971460
bar pass 2 trial onset at 6395.979860
bar pass 2 event mri_trigger at 6396.016390
bar pass 2 event mri_trigger at 6396.091294
bar pass 2 event mri_trigger at 6396.174652
bar pass 2 event mri_trigger at 6396.258171
bar pass 2 stimulus probe onset at 6396.321573
bar pass 2 event mri_trigger at 6396.332966
bar pass 2 event mri_trigger at 6396.416385
bar pass 2 event mri_trigger at 6396.491461
bar pass 2 event mri_trigger at 6396.574945
bar pass 2 event mri_trigger at 6396.658186
bar pass 2 event mri_trigger at 6396.733230
bar pass 2 event mri_trigger at 6396.816641
bar pass 2 event mri_trigger at 6396.891433
bar pass 2 event mri_trigger at 6396.974964
bar pass 2 event mri_trigger at 6397.058436
bar pass 2 event mri_trigger at 6397.133437
bar pass 2 trial offset at 6397.172022
bar pass 2 trial onset at 6397.180349
bar pass 2 event mri_trigger at 6397.216609
bar pass 2 event mri_trigger at 6397.291658
bar pass 2 event mri_trigger at 6397.375264
bar pass 2 event mri_trigger at 6397.458464
bar pass 2 stimulus probe onset at 6397.522155
bar pass 2 event mri_trigger at 6397.533477
bar pass 2 event mri_trigger at 6397.616959
bar pass 2 event mri_trigger at 6397.692031
bar pass 2 event mri_trigger at 6397.775263
bar pass 2 event mri_trigger at 6397.858602
bar pass 2 event mri_trigger at 6397.933474
bar pass 2 event mri_trigger at 6398.017044
bar pass 2 event mri_trigger at 6398.092064
bar pass 2 event mri_trigger at 6398.175548
bar pass 2 event mri_trigger at 6398.258642
bar pass 2 event mri_trigger at 6398.333801
bar pass 2 trial offset at 6398.380720
bar pass 2 trial onset at 6398.389174
bar pass 2 event mri_trigger at 6398.417305
bar pass 2 event mri_trigger at 6398.492336
bar pass 2 event mri_trigger at 6398.575519
bar pass 2 event mri_trigger at 6398.659004
bar pass 2 stimulus probe onset at 6398.730954
bar pass 2 event mri_trigger at 6398.734316
bar pass 2 event mri_trigger at 6398.817493
bar pass 2 event mri_trigger at 6398.892567
bar pass 2 event mri_trigger at 6398.975729
bar pass 2 event mri_trigger at 6399.059007
bar pass 2 event mri_trigger at 6399.134118
bar pass 2 event mri_trigger at 6399.217566
bar pass 2 event mri_trigger at 6399.292510
bar pass 2 event mri_trigger at 6399.376088
bar pass 2 event mri_trigger at 6399.451139
bar pass 2 event mri_trigger at 6399.534371
bar pass 2 trial offset at 6399.581329
bar pass 2 trial onset at 6399.589571
bar pass 2 event mri_trigger at 6399.617768
bar pass 2 event mri_trigger at 6399.692587
bar pass 2 event mri_trigger at 6399.776140
bar pass 2 event mri_trigger at 6399.851421
bar pass 2 stimulus probe onset at 6399.931382
bar pass 2 event mri_trigger at 6399.934575
bar pass 2 event mri_trigger at 6400.017789
bar pass 2 event mri_trigger at 6400.092800
bar pass 2 event mri_trigger at 6400.176436
bar pass 2 event mri_trigger at 6400.251444
bar pass 2 event mri_trigger at 6400.334672
bar pass 2 event mri_trigger at 6400.418098
bar pass 2 event mri_trigger at 6400.493250
bar pass 2 event mri_trigger at 6400.576434
bar pass 2 event mri_trigger at 6400.651468
bar pass 2 event mri_trigger at 6400.734900
bar pass 2 trial offset at 6400.790154
bar pass 2 trial onset at 6400.798491
bar pass 2 event mri_trigger at 6400.818401
bar pass 2 event mri_trigger at 6400.893280
bar pass 2 event mri_trigger at 6400.976644
bar pass 2 event mri_trigger at 6401.051695
bar pass 2 event mri_trigger at 6401.134922
bar pass 2 stimulus probe onset at 6401.140285
bar pass 2 event mri_trigger at 6401.218380
bar pass 2 event mri_trigger at 6401.293495
bar pass 2 event mri_trigger at 6401.376603
bar pass 2 event mri_trigger at 6401.451732
bar pass 2 event mri_trigger at 6401.535279
bar pass 2 event mri_trigger at 6401.618648
bar pass 2 event mri_trigger at 6401.693586
bar pass 2 event mri_trigger at 6401.776676
bar pass 2 event mri_trigger at 6401.851725
bar pass 2 event mri_trigger at 6401.935298
bar pass 2 trial offset at 6401.998878
